name,value,n,index,kategori,lokasjon
Aldring av befolkningen,2.64,395,1,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økt arbeidsinnvandring,1.93,395,2,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere flyktninger,2.17,395,3,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Grønt skifte og klimautfordringer,2.1,395,4,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Manglende etterspurt kompetanse blant arbeidssøkere,2.64,395,5,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økt omstillingstakt i arbeidslivet,2.64,395,6,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere med fysiske og psykiske lidelser,2.47,395,7,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere unge i utenforskap,2.62,395,8,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere fattige,2.3,395,9,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Innstramming/effektivisering av off. sektor,2.52,395,10,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Lavere tillit til offentlig sektor,1.83,395,11,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forventninger til brukermedvirkning,2.41,395,12,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Digitaliseringen av offentlige tjenester øker,2.73,395,13,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forventninger til samarbeid på tvers av sektorer,2.56,395,14,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Sentralisering av offentlige tjenester,2.11,395,15,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Flere internasjonale konflikter/kriger,2.1,395,16,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forventninger til at off. tjenester har effekt,2.47,395,17,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.31,395,18,Nav som helhet,"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)"
